GROUP,WASSER,HEMI
CGS-,0.033870839,LH
CGS-,0.031354405,LH
CGS-,0.015268789,LH
CGS-,0.011912926,LH
CGS-,0.011592938,LH
CGS-,0.034290269,LH
CGS-,0.025708953,LH
CGS-,0.019820064,LH
CGS-,0.015136193,LH
CGS-,0.026918061,LH
CGS-,0.026976634,LH
CGS-,0.021270547,LH
CGS-,0.022777585,LH
CGS-,0.026757989,LH
CGS-,0.038653478,LH
CGS-,0.02094532,LH
CGS-,0.017996056,LH
CGS-,0.016325183,LH
CGS-,0.013070298,LH
CGS-,0.024451504,LH
CGS-,0.020342445,LH
CGS-,0.04148259,LH
CGS-,0.032620218,LH
CGS-,0.019995954,LH
CGS-,0.020038545,LH
CGS-,0.021220975,LH
CGS-,0.012312584,LH
CGS-,0.034286425,LH
CGS-,0.009007718,LH
CGS-,0.022190979,LH
CGS-,0.018373093,LH
CGS-,0.017651848,LH
CGS-,0.016782092,LH
CGS-,0.01947134,LH
CGS-,0.029921893,LH
CGS-,0.0411672,LH
CGS-,0.009328082,LH
CGS-,0.028437506,LH
CGS-,0.02561827,LH
CGS-,0.013764046,LH
CGS-,0.011568749,LH
CGS-,0.008437062,LH
CGS-,0.030841131,LH
CGS-,0.018030686,LH
CGS-,0.015274516,LH
CGS-,0.012145329,LH
CGS-,0.024555463,LH
CGS-,0.015126543,LH
CGS-,0.016513648,LH
CGS-,0.018036122,LH
CGS-,0.01722312,LH
CGS-,0.033234358,LH
CGS-,0.018224973,LH
CGS-,0.005248315,LH
CGS-,0.013264927,LH
CGS-,0.012131743,LH
CGS-,0.021833222,LH
CGS-,0.030504953,LH
CGS-,0.033498466,LH
CGS-,0.018415667,LH
CGS-,0.017470459,LH
CGS-,0.021081455,LH
CGS-,0.011723818,LH
CGS-,0.023357294,LH
CGS-,0.017131787,LH
CGS-,0.008373902,LH
CGS-,0.008494651,LH
CGS-,0.02109549,LH
CGS-,0.013741346,LH
CGS-,0.02303357,LH
CGS-,0.030532595,LH
CGS-,0.041777901,LH
CGS-,0.011903617,LH
CGS-,0.016289266,LH
CGS-,0.014640634,LH
CGS-,0.022507364,LH
CGS-,0.017840909,LH
CGS-,0.012681259,LH
CGS-,0.025327798,LH
CGS-,0.027277159,LH
CGS-,0.016616456,LH
CGS-,0.012332153,LH
CGS-,0.016089916,LH
CGS-,0.014635926,LH
CGS-,0.024232071,LH
CGS-,0.026513238,LH
CGS-,0.019141911,LH
CGS-,0.029691009,LH
CGS-,0.00677955,LH
CGS-,0.011782318,LH
CGS-,0.01415286,LH
CGS-,0.019012528,LH
CGS-,0.0309211,LH
CGS-,0.033216994,LH
CGS-,0.015086958,LH
CGS-,0.015780155,LH
CGS-,0.019677628,LH
CGS-,0.011481418,LH
CGS-,0.02438077,LH
CGS-,0.014389034,LH
CGS-,0.011693368,LH
CGS-,0.008892628,LH
CGS-,0.019636577,LH
CGS-,0.013143736,LH
CGS-,0.019573947,LH
CGS-,0.029128766,LH
CGS-,0.04037407,LH
CGS-,0.009987805,LH
CGS-,0.019402279,LH
CGS-,0.016005609,LH
CGS-,0.021328311,LH
CGS-,0.015372634,LH
CGS-,0.010090469,LH
CGS-,0.024564881,LH
CGS-,0.028250752,LH
CGS-,0.012108849,LH
CGS-,0.010699565,LH
CGS-,0.016637161,LH
CGS-,0.013450334,LH
CGS-,0.021945119,LH
CGS-,0.026832536,LH
CGS-,0.0186805,LH
CGS-,0.028287183,LH
CGS-,0.009004068,LH
CGS-,0.018765097,LH
CGS-,0.008792202,LH
CGS-,0.028657729,LH
CGS-,0.026043255,LH
CGS-,0.007744535,LH
CGS-,0.010347781,LH
CGS-,0.00891323,LH
CGS-,0.017332889,LH
CGS-,0.023430668,LH
CGS-,0.015059443,LH
CGS-,0.014170764,LH
CGS-,0.013824832,LH
CGS-,0.013316819,LH
CGS-,0.006506632,LH
CGS-,0.011875031,LH
CGS-,0.018364368,LH
CGS-,0.029609676,LH
CGS-,0.012726539,LH
CGS-,0.024170883,LH
CGS-,0.015765794,LH
CGS-,0.022605499,LH
CGS-,0.014482493,LH
CGS-,0.016167678,LH
CGS-,0.017770832,LH
CGS-,0.020293633,LH
CGS-,0.007265036,LH
CGS-,0.010810837,LH
CGS-,0.012571245,LH
CGS-,0.009538021,LH
CGS-,0.015955396,LH
CGS-,0.0197927,LH
CGS-,0.013877421,LH
CGS-,0.020409497,LH
CGS-,0.01568168,LH
CGS-,0.018074278,LH
CGS-,0.023614151,LH
CGS-,0.0425382,LH
CGS-,0.018088417,LH
CGS-,0.013916354,LH
CGS-,0.01859419,LH
CGS-,0.019662689,LH
CGS-,0.016989039,LH
CGS-,0.026699167,LH
CGS-,0.009337165,LH
CGS-,0.014104459,LH
CGS-,0.031031542,LH
CGS-,0.012503554,LH
CGS-,0.030303031,LH
CGS-,0.025080742,LH
CGS-,0.036326047,LH
CGS-,0.015446778,LH
CGS-,0.008000684,LH
CGS-,0.010647411,LH
CGS-,0.025312115,LH
CGS-,0.028180115,LH
CGS-,0.020900065,LH
CGS-,0.025267016,LH
CGS-,0.036035009,LH
CGS-,0.025693038,LH
CGS-,0.022268204,LH
CGS-,0.01691319,LH
CGS-,0.016403295,LH
CGS-,0.03416812,LH
CGS-,0.035552964,LH
CGS-,0.020831792,LH
CGS-,0.024239156,LH
CGS-,0.016653594,LH
CGS-,0.022701204,LH
CGS-,0.027925467,LH
CGS-,0.005049802,LH
CGS-,0.006506418,LH
CGS-,0.004656624,LH
CGS-,0.024991048,LH
CGS-,0.020914447,LH
CGS-,0.019325234,LH
CGS-,0.021237403,LH
CGS-,0.018745024,LH
CGS-,0.014894394,LH
CGS-,0.008676306,LH
CGS-,0.013377113,LH
CGS-,0.012391181,LH
CGS-,0.021361543,LH
CGS-,0.018717622,LH
CGS-,0.025694102,LH
CGS-,0.014468635,LH
CGS-,0.028604835,LH
CGS-,0.022144515,LH
CGS-,0.023445707,LH
CGS-,0.013460187,LH
CGS-,0.02620339,LH
CGS-,0.011324502,LH
CGS-,0.018597368,LH
CGS-,0.010756439,LH
CGS-,0.013669956,LH
CGS-,0.017875951,LH
CGS-,0.026008764,LH
CGS-,0.017942332,LH
CGS-,0.014226204,LH
CGS-,0.024309944,LH
CGS-,0.042139664,LH
CGS-,0.022798387,LH
CGS-,0.022122741,LH
CGS-,0.021614194,LH
CGS-,0.03802276,LH
CGS-,0.009279642,LH
CGS-,0.041041091,LH
CGS-,0.027220668,LH
CGS-,0.030091941,LH
CGS-,0.036303673,LH
CGS-,0.024820149,LH
CGS-,0.033279929,LH
CGS-,0.030000933,LH
CGS-,0.034920391,LH
CGS-,0.034956351,LH
CGS-,0.030171724,LH
CGS-,0.01638145,LH
CGS-,0.047600619,LH
CGS-,0.040379919,LH
CGS-,0.039914191,LH
CGS-,0.017199863,LH
CGS-,0.043712221,LH
CGS-,0.031632327,LH
CGS-,0.036832768,LH
CGS-,0.022378072,LH
CGS-,0.032604158,LH
CGS-,0.039317861,LH
CGS-,0.043199793,LH
CGS-,0.036039829,LH
CGS-,0.014673794,LH
CGS-,0.033544816,LH
CGS-,0.027270984,LH
CGS-,0.030922564,LH
CGS-,0.025816903,LH
CGS-,0.033700671,LH
CGS-,0.04255626,LH
CGS-,0.027075915,LH
CGS-,0.038148504,LH
CGS-,0.033227008,LH
CGS-,0.014968367,LH
CGS-,0.030630711,LH
CGS-,0.015260968,LH
CGS-,0.023127634,LH
CGS-,0.024252582,LH
CGS-,0.033543795,LH
CGS-,0.04866194,LH
CGS-,0.038972244,LH
CGS-,0.043085657,LH
CGS-,0.027500764,LH
CGS-,0.035213817,LH
CGS-,0.026691059,LH
CGS-,0.01516864,LH
CGS-,0.022464206,LH
CGS-,0.026022786,LH
CGS-,0.027291922,LH
CGS-,0.02656051,LH
CGS-,0.016256424,LH
CGS-,0.015117729,LH
CGS-,0.023803459,LH
CGS-,0.034237996,LH
CGS-,0.028375536,LH
CGS-,0.006208075,LH
CGS-,0.006212377,LH
CGS-,0.021573491,LH
CGS-,0.020976827,LH
CGS-,0.018422954,LH
CGS-,0.018597459,LH
CGS-,0.016195711,LH
CGS-,0.015364141,LH
CGS-,0.008115145,LH
CGS-,0.012940174,LH
CGS-,0.016311955,LH
CGS-,0.025287114,LH
CGS-,0.017702149,LH
CGS-,0.025542354,LH
CGS-,0.01438232,LH
CGS-,0.027710978,LH
CGS-,0.018218944,LH
CGS-,0.019520134,LH
CGS-,0.011211531,LH
CGS-,0.025337564,LH
CGS-,0.009177937,LH
CGS-,0.014689247,LH
CGS-,0.008653126,LH
CGS-,0.016129538,LH
CGS-,0.017255273,LH
CGS-,0.024825133,LH
CGS-,0.020401916,LH
CGS-,0.015132716,LH
CGS-,0.020892389,LH
CGS-,0.007230052,LH
CGS-,0.020731911,LH
CGS-,0.021052547,LH
CGS-,0.01891835,LH
CGS-,0.01943931,LH
CGS-,0.014392735,LH
CGS-,0.020309823,LH
CGS-,0.006121212,LH
CGS-,0.017405311,LH
CGS-,0.017426593,LH
CGS-,0.025210198,LH
CGS-,0.015060915,LH
CGS-,0.021536179,LH
CGS-,0.012366084,LH
CGS-,0.026156574,LH
CGS-,0.019606955,LH
CGS-,0.019597052,LH
CGS-,0.013529573,LH
CGS-,0.030164618,LH
CGS-,0.014859078,LH
CGS-,0.01783338,LH
CGS-,0.010975984,LH
CGS-,0.017006805,LH
CGS-,0.023177516,LH
CGS-,0.026869955,LH
CGS-,0.018992165,LH
CGS-,0.013195812,LH
CGS-,0.021319494,LH
CGS-,0.025245665,LH
CGS-,0.018575003,LH
CGS-,0.019990331,LH
CGS-,0.019456856,LH
CGS-,0.01848093,LH
CGS-,0.017143581,LH
CGS-,0.0090987,LH
CGS-,0.015160848,LH
CGS-,0.01235735,LH
CGS-,0.020696446,LH
CGS-,0.021195013,LH
CGS-,0.026594874,LH
CGS-,0.013155339,LH
CGS-,0.030736875,LH
CGS-,0.022809613,LH
CGS-,0.024110805,LH
CGS-,0.010413653,LH
CGS-,0.0243163,LH
CGS-,0.012173572,LH
CGS-,0.019262463,LH
CGS-,0.007636533,LH
CGS-,0.013981478,LH
CGS-,0.020364571,LH
CGS-,0.02261759,LH
CGS-,0.017096568,LH
CGS-,0.012013385,LH
CGS-,0.021732073,LH
CGS-,0.031448137,LH
CGS-,0.0116862,LH
CGS-,0.019678,LH
CGS-,0.008962808,LH
CGS-,0.018903354,LH
CGS-,0.018663954,LH
CGS-,0.02444841,LH
CGS-,0.034696802,LH
CGS-,0.045942105,LH
CGS-,0.010424224,LH
