"DICE","Network","Hemi","Group","subj"
0,"VIS_A","Left","CGS-",117930
0,"VIS_A","Left","CGS-",129634
0,"VIS_A","Left","CGS-",134223
0,"VIS_A","Left","CGS-",136732
0,"VIS_A","Left","CGS-",144125
0,"VIS_A","Left","CGS-",160729
0,"VIS_A","Left","CGS-",170631
0,"VIS_A","Left","CGS-",175742
0,"VIS_A","Left","CGS-",192136
0,"VIS_A","Left","CGS-",208125
0,"VIS_A","Left","CGS-",220721
0,"VIS_A","Left","CGS-",576255
0,"VIS_A","Left","CGS-",588565
0,"VIS_A","Left","CGS-",680250
0,"VIS_A","Left","CGS-",894774
0,"VIS_A","Left","CGS-",993675
0.00898203626275063,"TP","Left","CGS-",133928
0.142857149243355,"TP","Left","CGS-",136227
0.133333340287209,"TP","Left","CGS-",144832
0.0179028138518333,"TP","Left","CGS-",147737
0.00888888910412788,"TP","Left","CGS-",161731
0.172248810529709,"TP","Left","CGS-",163331
0,"TP","Left","CGS-",165234
0,"TP","Left","CGS-",167743
0.123595505952835,"TP","Left","CGS-",173940
0.00286532961763442,"TP","Left","CGS-",194847
0.105691060423851,"TP","Left","CGS-",210011
0,"TP","Left","CGS-",210415
0.116959065198898,"TP","Left","CGS-",214726
0,"TP","Left","CGS-",217429
0.00738007389008999,"TP","Left","CGS-",371843
0,"TP","Left","CGS-",422632
0.0183246079832315,"TP","Left","CGS-",475855
0,"TP","Left","CGS-",485757
0.124645888805389,"TP","Left","CGS-",592455
0.0537634417414665,"TP","Left","CGS-",645551
0.0855949893593788,"TP","Left","CGS-",654754
0.0833333358168602,"TP","Left","CGS-",679568
0,"TP","Left","CGS-",734045
0.00724637694656849,"TP","Left","CGS-",788876
0.0279720276594162,"TP","Left","CGS-",937160
0.0331491716206074,"TP","Left","CGS-",957974
0.0769230797886848,"TP","Left","CGS-",105620
0.0524934381246567,"TP","Left","CGS-",109830
0.102510459721088,"TP","Left","CGS-",117930
0.123076923191547,"TP","Left","CGS-",129634
0.111842103302479,"TP","Left","CGS-",134223
0.00753768859431148,"TP","Left","CGS-",136732
0,"TP","Left","CGS-",144125
0.151515156030655,"TP","Left","CGS-",160729
0,"TP","Left","CGS-",170631
0.151724144816399,"TP","Left","CGS-",175742
0.00753768859431148,"TP","Left","CGS-",192136
0.0128617361187935,"TP","Left","CGS-",208125
0.0403800457715988,"TP","Left","CGS-",220721
0,"TP","Left","CGS-",576255
0.26385223865509,"TP","Left","CGS-",588565
0,"TP","Left","CGS-",680250
0.00373134319670498,"TP","Left","CGS-",894774
0.0665024593472481,"TP","Left","CGS-",993675
0,"DA_A","Left","CGS-",133928
0,"DA_A","Left","CGS-",136227
0,"DA_A","Left","CGS-",144832
0,"DA_A","Left","CGS-",147737
0,"DA_A","Left","CGS-",161731
0,"DA_A","Left","CGS-",163331
0,"DA_A","Left","CGS-",165234
0,"DA_A","Left","CGS-",167743
0,"DA_A","Left","CGS-",173940
0,"DA_A","Left","CGS-",194847
0,"DA_A","Left","CGS-",210011
0,"DA_A","Left","CGS-",210415
0,"DA_A","Left","CGS-",214726
0,"DA_A","Left","CGS-",217429
0,"DA_A","Left","CGS-",371843
0,"DA_A","Left","CGS-",422632
0,"DA_A","Left","CGS-",475855
0.0900321528315544,"DA_A","Left","CGS-",485757
0,"DA_A","Left","CGS-",592455
0,"DA_A","Left","CGS-",645551
0,"DA_A","Left","CGS-",654754
0,"DA_A","Left","CGS-",679568
0,"DA_A","Left","CGS-",734045
0,"DA_A","Left","CGS-",788876
0,"DA_A","Left","CGS-",937160
0.0193370170891285,"DA_A","Left","CGS-",957974
0,"DA_A","Left","CGS-",105620
0,"DA_A","Left","CGS-",109830
0,"DA_A","Left","CGS-",117930
0,"DA_A","Left","CGS-",129634
0,"DA_A","Left","CGS-",134223
0.015075377188623,"DA_A","Left","CGS-",136732
0,"DA_A","Left","CGS-",144125
0,"DA_A","Left","CGS-",160729
0,"DA_A","Left","CGS-",170631
0.00344827584922314,"DA_A","Left","CGS-",175742
0,"DA_A","Left","CGS-",192136
0,"DA_A","Left","CGS-",208125
0,"DA_A","Left","CGS-",220721
0,"DA_A","Left","CGS-",576255
0,"DA_A","Left","CGS-",588565
0,"DA_A","Left","CGS-",680250
0,"DA_A","Left","CGS-",894774
0,"DA_A","Left","CGS-",993675
0.233532935380936,"CTRL_C","Left","CGS-",133928
0.28571429848671,"CTRL_C","Left","CGS-",136227
0.197222217917442,"CTRL_C","Left","CGS-",144832
0.225063934922218,"CTRL_C","Left","CGS-",147737
0.271111100912094,"CTRL_C","Left","CGS-",161731
0.114832535386086,"CTRL_C","Left","CGS-",163331
0.292134821414948,"CTRL_C","Left","CGS-",165234
0.159029647707939,"CTRL_C","Left","CGS-",167743
0.0758426934480667,"CTRL_C","Left","CGS-",173940
0.40114614367485,"CTRL_C","Left","CGS-",194847
0.140921413898468,"CTRL_C","Left","CGS-",210011
0.465045601129532,"CTRL_C","Left","CGS-",210415
0.128654971718788,"CTRL_C","Left","CGS-",214726
0.35672515630722,"CTRL_C","Left","CGS-",217429
0.453874528408051,"CTRL_C","Left","CGS-",371843
0.117117114365101,"CTRL_C","Left","CGS-",422632
0.130890056490898,"CTRL_C","Left","CGS-",475855
0.321543395519257,"CTRL_C","Left","CGS-",485757
0.121813029050827,"CTRL_C","Left","CGS-",592455
0.304659485816956,"CTRL_C","Left","CGS-",645551
0.13361169397831,"CTRL_C","Left","CGS-",654754
0.151515156030655,"CTRL_C","Left","CGS-",679568
0.315942019224167,"CTRL_C","Left","CGS-",734045
0.231884062290192,"CTRL_C","Left","CGS-",788876
0.346153855323792,"CTRL_C","Left","CGS-",937160
0.339779019355774,"CTRL_C","Left","CGS-",957974
0.429864257574081,"CTRL_C","Left","CGS-",105620
0.215223103761673,"CTRL_C","Left","CGS-",109830
0.0460251048207283,"CTRL_C","Left","CGS-",117930
0.00659340666607022,"CTRL_C","Left","CGS-",129634
0.11842105537653,"CTRL_C","Left","CGS-",134223
0.19597989320755,"CTRL_C","Left","CGS-",136732
0.30546623468399,"CTRL_C","Left","CGS-",144125
0.229797974228859,"CTRL_C","Left","CGS-",160729
0.264550268650055,"CTRL_C","Left","CGS-",170631
0.265517234802246,"CTRL_C","Left","CGS-",175742
0.233668342232704,"CTRL_C","Left","CGS-",192136
0.212218642234802,"CTRL_C","Left","CGS-",208125
0.277909725904465,"CTRL_C","Left","CGS-",220721
0.292079210281372,"CTRL_C","Left","CGS-",576255
0.287598937749863,"CTRL_C","Left","CGS-",588565
0.0690376535058022,"CTRL_C","Left","CGS-",680250
0.0895522385835648,"CTRL_C","Left","CGS-",894774
0.184729069471359,"CTRL_C","Left","CGS-",993675
0.122754491865635,"DM_A","Left","CGS-",133928
0.101503759622574,"DM_A","Left","CGS-",136227
0.00833333376795053,"DM_A","Left","CGS-",144832
0,"DM_A","Left","CGS-",147737
0.00444444455206394,"DM_A","Left","CGS-",161731
0.148325353860855,"DM_A","Left","CGS-",163331
0.0202247183769941,"DM_A","Left","CGS-",165234
0.164420485496521,"DM_A","Left","CGS-",167743
0.0477528087794781,"DM_A","Left","CGS-",173940
0.054441262036562,"DM_A","Left","CGS-",194847
0.0243902429938316,"DM_A","Left","CGS-",210011
0.0334346517920494,"DM_A","Left","CGS-",210415
0.00292397662997246,"DM_A","Left","CGS-",214726
0,"DM_A","Left","CGS-",217429
0.110701106488705,"DM_A","Left","CGS-",371843
0.228228226304054,"DM_A","Left","CGS-",422632
0,"DM_A","Left","CGS-",475855
0,"DM_A","Left","CGS-",485757
0,"DM_A","Left","CGS-",592455
0.08243727684021,"DM_A","Left","CGS-",645551
0.0563674308359623,"DM_A","Left","CGS-",654754
0.094696968793869,"DM_A","Left","CGS-",679568
0.104347825050354,"DM_A","Left","CGS-",734045
0.0193236712366343,"DM_A","Left","CGS-",788876
0,"DM_A","Left","CGS-",937160
0,"DM_A","Left","CGS-",957974
0,"DM_A","Left","CGS-",105620
0.115485563874245,"DM_A","Left","CGS-",109830
0.0878661051392555,"DM_A","Left","CGS-",117930
0.0879120901226997,"DM_A","Left","CGS-",129634
0.085526317358017,"DM_A","Left","CGS-",134223
0.133165836334229,"DM_A","Left","CGS-",136732
0.21864952147007,"DM_A","Left","CGS-",144125
0.0429292917251587,"DM_A","Left","CGS-",160729
0.0370370373129845,"DM_A","Left","CGS-",170631
0,"DM_A","Left","CGS-",175742
0.11055276542902,"DM_A","Left","CGS-",192136
0.160771697759628,"DM_A","Left","CGS-",208125
0.104513064026833,"DM_A","Left","CGS-",220721
0.111386135220528,"DM_A","Left","CGS-",576255
0.0659630596637726,"DM_A","Left","CGS-",588565
0.0669456049799919,"DM_A","Left","CGS-",680250
0,"DM_A","Left","CGS-",894774
0.0492610819637775,"DM_A","Left","CGS-",993675
0.0149700595065951,"CTRL_B","Left","CGS-",133928
0.0263157896697521,"CTRL_B","Left","CGS-",136227
0.12777778506279,"CTRL_B","Left","CGS-",144832
0,"CTRL_B","Left","CGS-",147737
0,"CTRL_B","Left","CGS-",161731
0.0047846888191998,"CTRL_B","Left","CGS-",163331
0.0134831462055445,"CTRL_B","Left","CGS-",165234
0.00808625295758247,"CTRL_B","Left","CGS-",167743
0.0421348325908184,"CTRL_B","Left","CGS-",173940
0.0200573056936264,"CTRL_B","Left","CGS-",194847
0.0379403792321682,"CTRL_B","Left","CGS-",210011
0,"CTRL_B","Left","CGS-",210415
0,"CTRL_B","Left","CGS-",214726
0,"CTRL_B","Left","CGS-",217429
0,"CTRL_B","Left","CGS-",371843
0.0990990996360779,"CTRL_B","Left","CGS-",422632
0,"CTRL_B","Left","CGS-",475855
0.163987144827843,"CTRL_B","Left","CGS-",485757
0.0396600551903248,"CTRL_B","Left","CGS-",592455
0,"CTRL_B","Left","CGS-",645551
0.031315241008997,"CTRL_B","Left","CGS-",654754
0,"CTRL_B","Left","CGS-",679568
0.028985507786274,"CTRL_B","Left","CGS-",734045
0.0676328465342522,"CTRL_B","Left","CGS-",788876
0.0104895103722811,"CTRL_B","Left","CGS-",937160
0,"CTRL_B","Left","CGS-",957974
0,"CTRL_B","Left","CGS-",105620
0.0209973752498627,"CTRL_B","Left","CGS-",109830
0.0899581611156464,"CTRL_B","Left","CGS-",117930
0.00439560459926724,"CTRL_B","Left","CGS-",129634
0.0427631586790085,"CTRL_B","Left","CGS-",134223
0.00251256278716028,"CTRL_B","Left","CGS-",136732
0.0996784567832947,"CTRL_B","Left","CGS-",144125
0,"CTRL_B","Left","CGS-",160729
0.0105820102617145,"CTRL_B","Left","CGS-",170631
0.0413793101906776,"CTRL_B","Left","CGS-",175742
0,"CTRL_B","Left","CGS-",192136
0.00643086805939674,"CTRL_B","Left","CGS-",208125
0.0475059375166893,"CTRL_B","Left","CGS-",220721
0,"CTRL_B","Left","CGS-",576255
0.00791556760668755,"CTRL_B","Left","CGS-",588565
0.0606694556772709,"CTRL_B","Left","CGS-",680250
0,"CTRL_B","Left","CGS-",894774
0.00246305414475501,"CTRL_B","Left","CGS-",993675
0.338323354721069,"VA_A","Left","CGS-",133928
0.248120307922363,"VA_A","Left","CGS-",136227
0.336111098527908,"VA_A","Left","CGS-",144832
0.493606150150299,"VA_A","Left","CGS-",147737
0.280000001192093,"VA_A","Left","CGS-",161731
0.224880382418633,"VA_A","Left","CGS-",163331
0.262921363115311,"VA_A","Left","CGS-",165234
0.385444730520248,"VA_A","Left","CGS-",167743
0.382022470235825,"VA_A","Left","CGS-",173940
0.252148985862732,"VA_A","Left","CGS-",194847
0.45528456568718,"VA_A","Left","CGS-",210011
0.258358657360077,"VA_A","Left","CGS-",210415
0.640350878238678,"VA_A","Left","CGS-",214726
0.342105269432068,"VA_A","Left","CGS-",217429
0.23616236448288,"VA_A","Left","CGS-",371843
0.462462455034256,"VA_A","Left","CGS-",422632
0.471204191446304,"VA_A","Left","CGS-",475855
0.102893888950348,"VA_A","Left","CGS-",485757
0.583569407463074,"VA_A","Left","CGS-",592455
0.175627246499062,"VA_A","Left","CGS-",645551
0.41336116194725,"VA_A","Left","CGS-",654754
0.397727280855179,"VA_A","Left","CGS-",679568
0.344927549362183,"VA_A","Left","CGS-",734045
0.434782594442368,"VA_A","Left","CGS-",788876
0.370629370212555,"VA_A","Left","CGS-",937160
0.469613254070282,"VA_A","Left","CGS-",957974
0.475113123655319,"VA_A","Left","CGS-",105620
0.349081367254257,"VA_A","Left","CGS-",109830
0.439330548048019,"VA_A","Left","CGS-",117930
0.50549453496933,"VA_A","Left","CGS-",129634
0.0723684206604958,"VA_A","Left","CGS-",134223
0.301507532596588,"VA_A","Left","CGS-",136732
0.141479104757309,"VA_A","Left","CGS-",144125
0.535353541374207,"VA_A","Left","CGS-",160729
0.277777791023254,"VA_A","Left","CGS-",170631
0.375862061977386,"VA_A","Left","CGS-",175742
0.33165830373764,"VA_A","Left","CGS-",192136
0.469453364610672,"VA_A","Left","CGS-",208125
0.380047500133514,"VA_A","Left","CGS-",220721
0.314356446266174,"VA_A","Left","CGS-",576255
0.28496041893959,"VA_A","Left","CGS-",588565
0.374476999044418,"VA_A","Left","CGS-",680250
0.574626863002777,"VA_A","Left","CGS-",894774
0.35960590839386,"VA_A","Left","CGS-",993675
0,"VIS_B","Left","CGS-",133928
0,"VIS_B","Left","CGS-",136227
0,"VIS_B","Left","CGS-",144832
0,"VIS_B","Left","CGS-",147737
0,"VIS_B","Left","CGS-",161731
0,"VIS_B","Left","CGS-",163331
0,"VIS_B","Left","CGS-",165234
0,"VIS_B","Left","CGS-",167743
0,"VIS_B","Left","CGS-",173940
0,"VIS_B","Left","CGS-",194847
0,"VIS_B","Left","CGS-",210011
0,"VIS_B","Left","CGS-",210415
0,"VIS_B","Left","CGS-",214726
0,"VIS_B","Left","CGS-",217429
0,"VIS_B","Left","CGS-",371843
0,"VIS_B","Left","CGS-",422632
0,"VIS_B","Left","CGS-",475855
0,"VIS_B","Left","CGS-",485757
0,"VIS_B","Left","CGS-",592455
0,"VIS_B","Left","CGS-",645551
0,"VIS_B","Left","CGS-",654754
0,"VIS_B","Left","CGS-",679568
0,"VIS_B","Left","CGS-",734045
0,"VIS_B","Left","CGS-",788876
0,"VIS_B","Left","CGS-",937160
0,"VIS_B","Left","CGS-",957974
0,"VIS_B","Left","CGS-",105620
0,"VIS_B","Left","CGS-",109830
0,"VIS_B","Left","CGS-",117930
0,"VIS_B","Left","CGS-",129634
0,"VIS_B","Left","CGS-",134223
0,"VIS_B","Left","CGS-",136732
0,"VIS_B","Left","CGS-",144125
0,"VIS_B","Left","CGS-",160729
0,"VIS_B","Left","CGS-",170631
0,"VIS_B","Left","CGS-",175742
0,"VIS_B","Left","CGS-",192136
0,"VIS_B","Left","CGS-",208125
0,"VIS_B","Left","CGS-",220721
0,"VIS_B","Left","CGS-",576255
0,"VIS_B","Left","CGS-",588565
0,"VIS_B","Left","CGS-",680250
0,"VIS_B","Left","CGS-",894774
0,"VIS_B","Left","CGS-",993675
0,"SM_A","Left","CGS-",133928
0,"SM_A","Left","CGS-",136227
0.0194444451481104,"SM_A","Left","CGS-",144832
0.0434782616794109,"SM_A","Left","CGS-",147737
0,"SM_A","Left","CGS-",161731
0,"SM_A","Left","CGS-",163331
0.00898876413702965,"SM_A","Left","CGS-",165234
